RF_Recall,RF_Precision,NB_Recall,NB_Precision
1.0,0.001326259946949602,1.0,0.001326259946949602
0.9588142388531162,0.3378255937560196,1.0,0.0013262599825662848
0.9588142388531162,0.33783523469103827,1.0,0.0013262600181829696
0.9588142388531162,0.33784969712536655,1.0,0.001326260053799656
0.9588142388531162,0.3378593394361876,1.0,0.0013262600894163447
0.9588142388531162,0.3379003253981846,1.0,0.001326260125033035
0.9588142388531162,0.3379147934061229,1.0,0.0013262601606497274
0.9588142388531162,0.337919616350765,1.0,0.0013262601962664214
0.9588142388531162,0.33792202787471365,1.0,0.0013262602318831176
0.9588142388531162,0.3379437331392112,1.0,0.0013262602674998158
0.9588142388531162,0.33795338081847637,1.0,0.0013262603031165157
0.9588142388531162,0.3379606169394266,1.0,0.0013262603387332176
0.9588142388531162,0.3379895645222307,1.0,0.0013262603743499214
0.9588142388531162,0.3380619551792331,1.0,0.001326260409966627
0.9588142388531162,0.33818025996286244,1.0,0.0013262604455833347
0.9588142388531162,0.33826239766833827,1.0,0.0013262604812000441
0.9588142388531162,0.3384243741021591,1.0,0.0013262605168167555
0.9588142388531162,0.3386058751179886,1.0,0.0013262605524334689
0.9588142388531162,0.3387269839907292,1.0,0.0013262605880501842
0.9588142388531162,0.33894519841951554,1.0,0.0013262606236669014
0.9588142388531162,0.33921228706104845,1.0,0.0013262606592836204
0.9588142388531162,0.3392317281102689,1.0,0.0013262606949003416
0.9588142388531162,0.3392365887207703,1.0,0.0013262607305170645
0.9588142388531162,0.3392390190782545,1.0,0.0013262607661337893
0.9588142388531162,0.33924387989769383,1.0,0.001326260801750516
0.9588142388531162,0.33924631035965036,1.0,0.0013262608373672447
0.9588142388531162,0.3392487408564326,1.0,0.0013262608729839752
0.9587939901996517,0.3395700065976306,1.0,0.0013262609086007078
0.9587939901996517,0.33957244178624957,1.0,0.0013262609442174422
0.9587939901996517,0.33957487700979616,1.0,0.0013262609798341785
0.9587939901996517,0.33958218289000924,1.0,0.0013262610154509166
0.9587939901996517,0.33958461825327385,1.0,0.0013262610510676569
0.9587737415461872,0.339960224294771,1.0,0.0013262610866843988
0.9587737415461872,0.3399626651349799,1.0,0.0013262611223011428
0.9587737415461872,0.3399699878659075,1.0,0.0013262611579178886
0.9587737415461872,0.33997242884631956,1.0,0.0013262611935346365
0.9587332442392581,0.3403979985046299,1.0,0.0013262612291513863
0.9587332442392581,0.3404053403118777,1.0,0.0013262612647681378
0.9587332442392581,0.34040778765133867,1.0,0.0013262613003848912
0.9587332442392581,0.3404126824358329,1.0,0.0013262613360016467
0.9587332442392581,0.34048122420215443,1.0,0.001326261371618404
0.9587332442392581,0.3404910181363172,1.0,0.0013262614072351634
0.9587332442392581,0.34049346670789676,1.0,0.0013262614428519246
0.9587332442392581,0.3405008126339408,1.0,0.0013262614784686877
0.9587332442392581,0.3405155054369714,1.0,0.0013262615140854526
0.9586724982788645,0.34118342257164885,1.0,0.0013262615497022195
0.9586724982788645,0.3411858812677457,1.0,0.0013262615853189884
0.9586724982788645,0.34118833999927933,1.0,0.0013262616209357592
0.9586724982788645,0.34119325756866026,1.0,0.0013262616565525318
0.9586724982788645,0.3412522794599932,1.0,0.0013262616921693063
0.9586724982788645,0.3412571988726872,1.0,0.001326261727786083
0.9586724982788645,0.34125965863222235,1.0,0.0013262617634028611
0.9586724982788645,0.341264578257673,1.0,0.0013262617990196415
0.9586724982788645,0.34126703812358994,1.0,0.0013262618346364238
0.9585712550115417,0.34225975302929523,1.0,0.0013262618702532078
0.9585712550115417,0.342264702054745,1.0,0.001326261905869994
0.9585712550115417,0.3422696512233212,1.0,0.001326261941486782
0.9585712550115417,0.34227460053503,1.0,0.0013262619771035717
0.9585712550115417,0.34228944932901434,1.0,0.0013262620127203635
0.9585712550115417,0.34229192425327,1.0,0.0013262620483371573
0.9585712550115417,0.3423018243082018,1.0,0.0013262620839539529
0.9585510063580772,0.34246050118641125,1.0,0.0013262621195707504
0.9585510063580772,0.3424629786372087,1.0,0.0013262621551875498
0.9585510063580772,0.3424704112046763,1.0,0.0013262621908043512
0.9585510063580772,0.34248032179650423,1.0,0.0013262622264211545
0.9585510063580772,0.3424827995340862,1.0,0.0013262622620379596
0.9585510063580772,0.34248527730751976,1.0,0.0013262622976547666
0.9585510063580772,0.34249271084293764,1.0,0.0013262623332715756
0.9585510063580772,0.34249518875978524,1.0,0.0013262623688883866
0.9584902603976836,0.3435971139468374,1.0,0.0013262624045051994
0.9584902603976836,0.3435996080281639,1.0,0.0013262624401220143
0.9584902603976836,0.3436021021456984,1.0,0.0013262624757388309
0.9584902603976836,0.34360709048939475,1.0,0.0013262625113556494
0.9584902603976836,0.3436095847155581,1.0,0.0013262625469724698
0.9584902603976836,0.3436120789779326,1.0,0.0013262625825892923
0.9584902603976836,0.3436170676113184,1.0,0.0013262626182061167
0.9584902603976836,0.3436195619823312,1.0,0.0013262626538229428
0.9584902603976836,0.34373434220940957,1.0,0.001326262689439771
0.9584902603976836,0.34373933439354,1.0,0.001326262725056601
0.9584902603976836,0.34375930458021364,1.0,0.001326262760673433
0.9584902603976836,0.34376429748945164,1.0,0.001326262796290267
0.9584902603976836,0.34376929054373007,1.0,0.0013262628319071026
0.9584902603976836,0.34377678039711246,1.0,0.0013262628675239404
0.9584902603976836,0.34377927708743367,1.0,0.00132626290314078
0.9584902603976836,0.3437817738140197,1.0,0.0013262629387576215
0.9584902603976836,0.34378676737598957,1.0,0.001326262974374465
0.9584902603976836,0.3437917610830283,1.0,0.0013262630099913103
0.9584902603976836,0.3437967549351423,1.0,0.0013262630456081575
0.9583282711699672,0.34523809523809523,1.0,0.0013262630812250066
0.9583282711699672,0.345260762042326,1.0,0.0013262631168418579
0.9583282711699672,0.3452733559974904,1.0,0.0013262631524587109
0.9583282711699672,0.3452783938368157,1.0,0.0013262631880755656
0.9583282711699672,0.3452859508714589,1.0,0.0013262632236924225
0.9583282711699672,0.3452884699565179,1.0,0.0013262632593092813
0.9583282711699672,0.34529098907833394,1.0,0.001326263294926142
0.9583282711699672,0.345301065933184,1.0,0.0013262633305430045
0.9583080225165026,0.3453366023087139,1.0,0.001326263366159869
0.9583080225165026,0.3453391221861432,1.0,0.0013262634017767354
0.9583080225165026,0.34534164210034735,1.0,0.0013262634373936036
0.9583080225165026,0.34534416205132695,1.0,0.001326263473010474
0.9583080225165026,0.3453466820390829,1.0,0.001326263508627346
0.9583080225165026,0.345349202063616,1.0,0.00132626354424422
0.9582675252095736,0.34556659778457677,1.0,0.001326263579861096
0.9582675252095736,0.3455691211262669,1.0,0.001326263615477974
0.9582675252095736,0.34557921486154924,1.0,0.0013262636510948536
0.9582675252095736,0.34558930918650504,1.0,0.0013262636867117353
0.9582675252095736,0.34559183285988654,1.0,0.001326263722328619
0.9582675252095736,0.3455943565701266,1.0,0.0013262637579455046
0.9582675252095736,0.3455968803172262,1.0,0.0013262637935623918
0.9582675252095736,0.3456019279220068,1.0,0.0013262638291792813
0.9582675252095736,0.3456120235739168,1.0,0.0013262638647961724
0.9582675252095736,0.34561454757905496,1.0,0.0013262639004130658
0.9582675252095736,0.3456195956999299,1.0,0.0013262639360299608
0.9582675252095736,0.3456347409474007,1.0,0.0013262639716468579
0.9582675252095736,0.3456397896581946,1.0,0.0013262640072637566
0.9582675252095736,0.34564231406890206,1.0,0.0013262640428806575
0.9582675252095736,0.3456448385164843,1.0,0.0013262640784975602
0.9582675252095736,0.3456473630009422,1.0,0.001326264114114465
0.9582675252095736,0.34566251068212195,1.0,0.0013262641497313716
0.9582675252095736,0.34566756020422323,1.0,0.0013262641853482799
0.9582675252095736,0.34567260987385595,1.0,0.0013262642209651903
0.9581055359818572,0.3480035596872771,1.0,0.0013262642565821027
0.9581055359818572,0.34801635751165766,1.0,0.001326264292199017
0.9581055359818572,0.34802147690497204,1.0,0.001326264327815933
0.9581055359818572,0.3480368359886432,1.0,0.001326264363432851
0.9581055359818572,0.34803939596772415,1.0,0.001326264399049771
0.9581055359818572,0.34806755822335994,1.0,0.0013262644346666928
0.9581055359818572,0.3481110906750046,1.0,0.0013262644702836167
0.9581055359818572,0.34811621285580807,1.0,0.0013262645059005423
0.9581055359818572,0.3481341416757409,1.0,0.00132626454151747
0.9581055359818572,0.34813670308648786,1.0,0.0013262645771343995
0.9581055359818572,0.3481392645349265,1.0,0.001326264612751331
0.9581055359818572,0.3481418260210576,1.0,0.0013262646483682642
0.9581055359818572,0.348144387544882,1.0,0.0013262646839851996
